iter	Passed	Remaining
0	0	89
1	1	79
2	2	73
3	2	69
4	3	70
5	4	69
6	5	68
7	5	68
8	6	68
9	7	67
10	8	66
11	8	64
12	9	63
13	10	63
14	11	62
15	11	61
16	12	61
17	13	60
18	14	59
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	51	17
75	52	16
76	53	15
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
